country,year,GDP,ITM,POP,PerCapitaGDP,PerCapitaITM
AUS,1980,347420465.0,6271000.0,14710.0,23617.978585995923,426.3086335825969
AUS,1981,358188872.0,6683000.0,14902.0,24036.29526238089,448.46329351764865
AUS,1982,368749588.0,5850000.0,15110.0,24404.34070152217,387.1608206485771
AUS,1983,360991765.0,4811000.0,15333.0,23543.45300984804,313.7676906019696
AUS,1984,379601300.0,6054000.0,15568.0,24383.433967112025,388.87461459403903
AUS,1985,399582173.0,5740000.0,15812.0,25270.817923096383,363.0154313179863
AUS,1986,417731196.0,5925000.0,16066.0,26000.94584837545,368.79123615087764
AUS,1987,429187886.0,5441000.0,16330.0,26282.17305572566,333.1904470300061
AUS,1988,453331010.0,6419000.0,16596.0,27315.679079296217,386.77994697517477
AUS,1989,470383417.0,6831000.0,16854.0,27909.30443811558,405.3043787824849
AUS,1990,515317626.0,5511000.0,17042.0,30238.095646050933,323.37753784767045
AUS,1991,513320531.0,5294000.0,17272.0,29719.80841824919,306.5076424270496
AUS,1992,515592569.0,5120000.0,17486.0,29486.021331350796,292.8056731099165
AUS,1993,536417759.0,5757000.0,17688.0,30326.648518769787,325.47489823609226
AUS,1994,557759322.0,6326000.0,17883.0,31189.359838953194,353.7437790079964
AUS,1995,579117983.0,6256000.0,18077.0,32036.177629031365,346.07512308458263
AUS,1996,601579834.0,6400000.0,18272.0,32923.589864273206,350.2626970227671
AUS,1997,625441020.0,6500000.0,18468.0,33866.202079272254,351.9601472817847
AUS,1998,654065825.0,6600000.0,18665.0,35042.36940798286,353.60300026788104
AUS,1999,686887267.0,6600000.0,18864.0,36412.59897158609,349.8727735368957
AUS,2000,713972531.0,6100000.0,19066.0,37447.42111612294,319.94125668729674
AUS,2001,727774374.0,6000000.0,19269.0,37769.18231356064,311.3809746224506
AUS,2002,756907345.0,6800000.0,19475.0,38865.588960205394,349.1655969191271
AUS,2003,779506667.0,7000000.0,19697.0,39574.89297862619,355.3840686398944
AUS,2004,810695552.0,7500000.0,19949.0,40638.40553411198,375.9586946714121
AUS,2005,836559304.0,7400000.0,20239.0,41334.02361776768,365.6307129798903
AUS,2006,860269340.0,7420000.0,20573.0,41815.45423613474,360.6668935011909
AUS,2007,892764544.0,8126000.0,20947.0,42620.162505370696,387.93144603045783
AUS,2008,925419788.0,8224000.0,21343.0,43359.40533195896,385.325399428384
AUS,2009,943213087.0,5916000.0,21739.0,43388.062330373985,272.13763282579697
AUS,2010,962576705.0,7716000.0,22120.0,43516.12590415913,348.8245931283906
AUS,2011,986170471.0,6672000.0,22480.0,43868.79319395018,296.79715302491104
AUS,2012,1024551635.0,7152000.0,22822.0,44893.15726053808,313.38182455525373
AUS,2013,1051594494.0,6376000.0,23151.0,45423.28599196579,275.40926957798797
AUS,2014,1078497831.0,7142000.0,23474.0,45944.35677771151,304.25151231149357
AUS,2015,1103854786.0,6968000.0,23800.0,46380.45319327731,292.7731092436975
AUS,2016,1135064189.0,6478000.0,24125.0,47049.292808290156,268.5181347150259
AUS,2017,1157283926.0,,24451.0,47330.740092429754,
AUS,2018,1201142573.0,,24772.0,48487.91268367512,
AUS,2019,1245039044.0,,25089.0,49624.89712623062,
AUS,2020,1289224526.0,,25398.0,50760.86802110403,
AUS,2021,1333639686.0,,25700.0,51892.594785992216,
AUS,2022,1378646228.0,,25996.0,53033.013848284354,
AUS,2023,1424442629.0,,26287.0,54188.10168524366,
AUS,2024,1471205820.0,,26573.0,55364.68671207617,
AUS,2025,1519006309.0,,26857.0,56559.0463938638,
AUS,2026,1566859653.0,,27139.0,57734.61266074653,
AUS,2027,1615958599.0,,27418.0,58937.872893719454,
AUS,2028,1666222278.0,,27693.0,60167.63362582602,
AUS,2029,1717419964.0,,27966.0,61410.99778302224,
AUS,2030,1769393796.0,,28234.0,62668.90259970249,
AUS,2031,1821332122.0,,28500.0,63906.390245614035,
AUS,2032,1874054169.0,,28760.0,65161.8278511822,
AUS,2033,1927569372.0,,29018.0,66426.67902681095,
AUS,2034,1981931991.0,,29273.0,67705.12045229392,
AUS,2035,2037127705.0,,29527.0,68992.03119179056,
AUS,2036,2091895589.0,,29777.0,70252.0599455956,
AUS,2037,2147448007.0,,30026.0,71519.61656564311,
AUS,2038,2203751837.0,,30273.0,72795.95140884617,
AUS,2039,2260727484.0,,30520.0,74073.63971166448,
AUS,2040,2318290528.0,,30764.0,75357.2528929918,
AUS,2041,2375138639.0,,31009.0,76595.13815343933,
AUS,2042,2432794114.0,,31253.0,77841.9388218731,
AUS,2043,2491262884.0,,31496.0,79097.75476250953,
AUS,2044,2550592656.0,,31739.0,80361.46872932355,
AUS,2045,2610851825.0,,31982.0,81635.03924082297,
AUS,2046,2670775153.0,,32225.0,82878.98069821567,
AUS,2047,2731887132.0,,32468.0,84140.91203646667,
AUS,2048,2794170024.0,,32710.0,85422.50149801285,
AUS,2049,2857579294.0,,32950.0,86724.71301972686,
AUS,2050,2922072575.0,,33187.0,88048.71109169253,
BD,1980,17855416.0,,189.0,94473.10052910053,
BD,1981,14325028.0,,195.0,73461.68205128206,
BD,1982,14898711.0,,201.0,74122.94029850746,
BD,1983,14977505.0,,207.0,72355.0966183575,
BD,1984,15069294.0,,213.0,70747.85915492958,
BD,1985,14844799.0,,219.0,67784.4703196347,
BD,1986,14440412.0,,225.0,64179.60888888889,
BD,1987,14728067.0,,232.0,63483.0474137931,
BD,1988,14886686.0,,238.0,62549.100840336134,
BD,1989,14723781.0,,245.0,60097.06530612245,
BD,1990,23088497.0,,258.0,89490.2984496124,
BD,1991,23814848.0,,266.0,89529.5037593985,
BD,1992,24948096.0,,274.0,91051.44525547445,
BD,1993,25024081.0,,281.0,89053.66903914591,
BD,1994,25811188.0,,290.0,89004.09655172414,
BD,1995,26967196.0,,297.0,90798.63973063973,
BD,1996,27743397.0,,304.0,91261.17434210527,
BD,1997,27335244.0,,312.0,87612.96153846153,
BD,1998,27182575.0,,319.0,85211.83385579937,
BD,1999,28012230.0,,326.0,85927.08588957055,
BD,2000,28810416.0,,333.0,86517.76576576577,
BD,2001,29600986.0,,340.0,87061.72352941177,
BD,2002,30747165.0,,347.0,88608.5446685879,
BD,2003,31640049.0,,353.0,89631.86685552407,
BD,2004,31799615.0,,360.0,88332.26388888889,
BD,2005,31922841.0,,365.0,87459.83835616439,
BD,2006,33326718.0,,371.0,89829.42857142857,
BD,2007,33378235.0,,374.0,89246.61764705883,
BD,2008,32730792.0,,379.0,86360.92875989446,
BD,2009,32153246.0,,384.0,83732.41145833333,
BD,2010,32988898.0,,389.0,84804.36503856041,
BD,2011,34224437.0,,394.0,86864.05329949239,
BD,2012,34536852.0,,399.0,86558.52631578948,
BD,2013,33802589.0,,405.0,83463.18271604938,
BD,2014,33008313.0,,411.0,80312.19708029197,
BD,2015,32821218.0,,417.0,78707.95683453238,
BD,2016,32012006.0,,423.0,75678.5011820331,
BD,2017,32437366.0,,429.0,75611.57575757576,
BD,2018,33069907.0,,434.0,76197.94239631336,
BD,2019,33676517.0,,439.0,76711.88382687928,
BD,2020,34259481.0,,445.0,76987.59775280899,
BD,2021,34761332.0,,450.0,77247.40444444444,
BD,2022,35259303.0,,455.0,77492.97362637363,
BD,2023,35744984.0,,459.0,77875.78213507625,
BD,2024,36216047.0,,464.0,78051.82543103448,
BD,2025,36670805.0,,469.0,78189.34968017058,
BD,2026,37067939.0,,473.0,78367.7357293869,
BD,2027,37462768.0,,478.0,78373.99163179916,
BD,2028,37858011.0,,482.0,78543.59128630706,
BD,2029,38255907.0,,486.0,78715.85802469136,
BD,2030,38654200.0,,490.0,78886.12244897959,
BD,2031,38979888.0,,494.0,78906.65587044535,
BD,2032,39317569.0,,497.0,79109.7967806841,
BD,2033,39663549.0,,500.0,79327.098,
BD,2034,40018318.0,,504.0,79401.4246031746,
BD,2035,40377630.0,,507.0,79640.29585798817,
BD,2036,40672792.0,,509.0,79907.25343811396,
BD,2037,40982660.0,,513.0,79888.2261208577,
BD,2038,41303882.0,,515.0,80201.71262135923,
BD,2039,41631876.0,,518.0,80370.41698841698,
BD,2040,41964992.0,,520.0,80701.9076923077,
BD,2041,42231768.0,,522.0,80903.77011494253,
BD,2042,42511378.0,,524.0,81128.58396946565,
BD,2043,42800472.0,,526.0,81369.71863117871,
BD,2044,43100190.0,,528.0,81629.14772727272,
BD,2045,43407732.0,,530.0,81901.38113207548,
BD,2046,43644785.0,,532.0,82039.06954887218,
BD,2047,43894956.0,,533.0,82354.51407129456,
BD,2048,44156602.0,,535.0,82535.70467289719,
BD,2049,44432251.0,,535.0,83050.93644859814,
BD,2050,44714493.0,,537.0,83267.2122905028,
CDA,1980,675111424.0,13306000.0,24516.0,27537.58459781367,542.7475934083864
CDA,1981,697284324.0,14118000.0,24770.0,28150.35623738393,569.963665724667
CDA,1982,675883914.0,9418000.0,25016.0,27018.064998401023,376.47905340582025
CDA,1983,694219534.0,10771000.0,25267.0,27475.344678830093,426.2872521470693
CDA,1984,735383384.0,13089000.0,25539.0,28794.525392536903,512.5102783977446
CDA,1985,772485749.0,13185000.0,25843.0,29891.48895252099,510.1961846534845
CDA,1986,793596223.0,12539000.0,26183.0,30309.598709086047,478.8985219417179
CDA,1987,828151423.0,13395000.0,26555.0,31186.27087177556,504.42477876106193
CDA,1988,870763088.0,15244000.0,26943.0,32318.713135137143,565.7870318821215
CDA,1989,890380142.0,13985000.0,27330.0,32578.856275155507,511.70874496889866
CDA,1990,916554841.0,11222000.0,27692.0,33098.18146034956,405.24339159323995
CDA,1991,897071706.0,10688000.0,28045.0,31986.867748261724,381.10180067748263
CDA,1992,904992634.0,11160000.0,28385.0,31882.77731196054,393.1654042628149
CDA,1993,929022323.0,12714000.0,28711.0,32357.713872731707,442.82679112535266
CDA,1994,970767705.0,15324000.0,29027.0,33443.61129293416,527.9222792572433
CDA,1995,996762034.0,15047000.0,29330.0,33984.3857483805,513.0242072962836
CDA,1996,1012820349.0,15300000.0,29622.0,34191.491087705086,516.5080008102086
CDA,1997,1056167160.0,17700000.0,29903.0,35319.77259806708,591.9138547971776
CDA,1998,1097165026.0,18200000.0,30178.0,36356.452581350655,603.0883425011598
CDA,1999,1153813970.0,18200000.0,30454.0,37887.10744073028,597.6226439876535
CDA,2000,1213612575.0,19800000.0,30736.0,39485.05254424779,644.1957313899011
CDA,2001,1235103458.0,16900000.0,31025.0,39809.94224012893,544.7219983883964
CDA,2002,1272280273.0,17671000.0,31321.0,40620.67855432457,564.1901599565787
CDA,2003,1295210241.0,17233000.0,31628.0,40951.379821676994,544.8653092196788
CDA,2004,1335179927.0,19314000.0,31950.0,41789.669076682316,604.5070422535211
CDA,2005,1377924138.0,18014000.0,32288.0,42676.04490832507,557.9162537165511
CDA,2006,1414072774.0,20130000.0,32646.0,43315.34564724622,616.6145929057159
CDA,2007,1443241528.0,18248000.0,33020.0,43708.10199878861,552.6347668079951
CDA,2008,1457679153.0,16799000.0,33405.0,43636.55599461158,502.88878910342765
CDA,2009,1414683628.0,10591000.0,33790.0,41866.93187333531,313.4359277892868
CDA,2010,1458305599.0,15656000.0,34168.0,42680.4495141653,458.20650901428235
CDA,2011,1504114172.0,15746000.0,34539.0,43548.283737224585,455.8904426879759
CDA,2012,1530368068.0,17305000.0,34901.0,43848.831494799575,495.83106501246385
CDA,2013,1568244706.0,16445000.0,35256.0,44481.64017472203,466.4454277286136
CDA,2014,1613029685.0,17527000.0,35605.0,45303.45976688667,492.2623227074849
CDA,2015,1629174217.0,14827000.0,35949.0,45319.04133633759,412.4454087735403
CDA,2016,1652212414.0,16717000.0,36290.0,45528.035657205844,460.6503168917057
CDA,2017,1702561120.0,,36624.0,46487.57972913936,
CDA,2018,1736225571.0,,36954.0,46983.42726091898,
CDA,2019,1771168763.0,,37280.0,47509.89171137339,
CDA,2020,1807362860.0,,37604.0,48063.04807999149,
CDA,2021,1844712460.0,,37924.0,48642.349435713535,
CDA,2022,1883170718.0,,38242.0,49243.52068406464,
CDA,2023,1922752078.0,,38556.0,49869.0755783795,
CDA,2024,1963133817.0,,38868.0,50507.71372337141,
CDA,2025,2004109568.0,,39173.0,51160.48216884078,
CDA,2026,2045710589.0,,39473.0,51825.56656448712,
CDA,2027,2087986905.0,,39769.0,52502.87673816289,
CDA,2028,2130945077.0,,40059.0,53195.16405801443,
CDA,2029,2174536544.0,,40342.0,53902.546824649246,
CDA,2030,2218710070.0,,40618.0,54623.81382638239,
CDA,2031,2263425517.0,,40886.0,55359.4266252507,
CDA,2032,2308694906.0,,41147.0,56108.46248815223,
CDA,2033,2354538825.0,,41401.0,56871.54476945001,
CDA,2034,2400973842.0,,41647.0,57650.58328330972,
CDA,2035,2448001199.0,,41888.0,58441.58706550802,
CDA,2036,2495626479.0,,42123.0,59246.17142653657,
CDA,2037,2543873074.0,,42351.0,60066.422847158276,
CDA,2038,2592766017.0,,42574.0,60900.221191337434,
CDA,2039,2642312764.0,,42792.0,61747.82118152926,
CDA,2040,2692521059.0,,43005.0,62609.488640855714,
CDA,2041,2743424646.0,,43213.0,63486.09552680906,
CDA,2042,2795096455.0,,43417.0,64377.9269640924,
CDA,2043,2847594538.0,,43619.0,65283.352163048214,
CDA,2044,2900951807.0,,43816.0,66207.59099415739,
CDA,2045,2955183143.0,,44011.0,67146.46663334167,
CDA,2046,3010304987.0,,44204.0,68100.2847479866,
CDA,2047,3066353016.0,,44395.0,69069.78299358036,
CDA,2048,3123340480.0,,44583.0,70056.7588542718,
CDA,2049,3181260928.0,,44768.0,71061.0464617584,
CDA,2050,3240094122.0,,44949.0,72083.78655809918,
CHL,1980,75244937.0,809000.0,11179.0,6730.9184184631895,72.36783254316128
CHL,1981,78802560.0,724000.0,11348.0,6944.180472329926,63.79978850898837
CHL,1982,70661595.0,334000.0,11527.0,6130.094126832654,28.97544894595298
CHL,1983,67980359.0,462000.0,11714.0,5803.342922998122,39.43998634113027
