Economy,Year,GDP,ITM,POP
01_AUS,1980,347420465.0,6271000.0,14710.0
01_AUS,1981,358188872.0,6683000.0,14902.0
01_AUS,1982,368749588.0,5850000.0,15110.0
01_AUS,1983,360991765.0,4811000.0,15333.0
01_AUS,1984,379601300.0,6054000.0,15568.0
01_AUS,1985,399582173.0,5740000.0,15812.0
01_AUS,1986,417731196.0,5925000.0,16066.0
01_AUS,1987,429187886.0,5441000.0,16330.0
01_AUS,1988,453331010.0,6419000.0,16596.0
01_AUS,1989,470383417.0,6831000.0,16854.0
01_AUS,1990,515317626.0,5511000.0,17042.0
01_AUS,1991,513320531.0,5294000.0,17272.0
01_AUS,1992,515592569.0,5120000.0,17486.0
01_AUS,1993,536417759.0,5757000.0,17688.0
01_AUS,1994,557759322.0,6326000.0,17883.0
01_AUS,1995,579117983.0,6256000.0,18077.0
01_AUS,1996,601579834.0,6400000.0,18272.0
01_AUS,1997,625441020.0,6500000.0,18468.0
01_AUS,1998,654065825.0,6600000.0,18665.0
01_AUS,1999,686887267.0,6600000.0,18864.0
01_AUS,2000,713972531.0,6100000.0,19066.0
01_AUS,2001,727774374.0,6000000.0,19269.0
01_AUS,2002,756907345.0,6800000.0,19475.0
01_AUS,2003,779506667.0,7000000.0,19697.0
01_AUS,2004,810695552.0,7500000.0,19949.0
01_AUS,2005,836559304.0,7400000.0,20239.0
01_AUS,2006,860269340.0,7420000.0,20573.0
01_AUS,2007,892764544.0,8126000.0,20947.0
01_AUS,2008,925419788.0,8224000.0,21343.0
01_AUS,2009,943213087.0,5916000.0,21739.0
01_AUS,2010,962576705.0,7716000.0,22120.0
01_AUS,2011,986170471.0,6672000.0,22480.0
01_AUS,2012,1024551635.0,7152000.0,22822.0
01_AUS,2013,1051594494.0,6376000.0,23151.0
01_AUS,2014,1078497831.0,7142000.0,23474.0
01_AUS,2015,1103854786.0,6968000.0,23800.0
01_AUS,2016,1135064189.0,6478000.0,24125.0
02_BD,1980,17855416.0,-1.0,189.0
02_BD,1981,14325028.0,-1.0,195.0
02_BD,1982,14898711.0,-1.0,201.0
02_BD,1983,14977505.0,-1.0,207.0
02_BD,1984,15069294.0,-1.0,213.0
02_BD,1985,14844799.0,-1.0,219.0
02_BD,1986,14440412.0,-1.0,225.0
02_BD,1987,14728067.0,-1.0,232.0
02_BD,1988,14886686.0,-1.0,238.0
02_BD,1989,14723781.0,-1.0,245.0
02_BD,1990,23088497.0,-1.0,258.0
02_BD,1991,23814848.0,-1.0,266.0
02_BD,1992,24948096.0,-1.0,274.0
02_BD,1993,25024081.0,-1.0,281.0
02_BD,1994,25811188.0,-1.0,290.0
02_BD,1995,26967196.0,-1.0,297.0
02_BD,1996,27743397.0,-1.0,304.0
02_BD,1997,27335244.0,-1.0,312.0
02_BD,1998,27182575.0,-1.0,319.0
02_BD,1999,28012230.0,-1.0,326.0
02_BD,2000,28810416.0,-1.0,333.0
02_BD,2001,29600986.0,-1.0,340.0
02_BD,2002,30747165.0,-1.0,347.0
02_BD,2003,31640049.0,-1.0,353.0
02_BD,2004,31799615.0,-1.0,360.0
02_BD,2005,31922841.0,-1.0,365.0
02_BD,2006,33326718.0,-1.0,371.0
02_BD,2007,33378235.0,-1.0,374.0
02_BD,2008,32730792.0,-1.0,379.0
02_BD,2009,32153246.0,-1.0,384.0
02_BD,2010,32988898.0,-1.0,389.0
02_BD,2011,34224437.0,-1.0,394.0
02_BD,2012,34536852.0,-1.0,399.0
02_BD,2013,33802589.0,-1.0,405.0
02_BD,2014,33008313.0,-1.0,411.0
02_BD,2015,32821218.0,-1.0,417.0
02_BD,2016,32012006.0,-1.0,423.0
03_CDA,1980,675111424.0,13306000.0,24516.0
03_CDA,1981,697284324.0,14118000.0,24770.0
03_CDA,1982,675883914.0,9418000.0,25016.0
03_CDA,1983,694219534.0,10771000.0,25267.0
03_CDA,1984,735383384.0,13089000.0,25539.0
03_CDA,1985,772485749.0,13185000.0,25843.0
03_CDA,1986,793596223.0,12539000.0,26183.0
03_CDA,1987,828151423.0,13395000.0,26555.0
03_CDA,1988,870763088.0,15244000.0,26943.0
03_CDA,1989,890380142.0,13985000.0,27330.0
03_CDA,1990,916554841.0,11222000.0,27692.0
03_CDA,1991,897071706.0,10688000.0,28045.0
03_CDA,1992,904992634.0,11160000.0,28385.0
03_CDA,1993,929022323.0,12714000.0,28711.0
03_CDA,1994,970767705.0,15324000.0,29027.0
03_CDA,1995,996762034.0,15047000.0,29330.0
03_CDA,1996,1012820349.0,15300000.0,29622.0
03_CDA,1997,1056167160.0,17700000.0,29903.0
03_CDA,1998,1097165026.0,18200000.0,30178.0
03_CDA,1999,1153813970.0,18200000.0,30454.0
03_CDA,2000,1213612575.0,19800000.0,30736.0
03_CDA,2001,1235103458.0,16900000.0,31025.0
03_CDA,2002,1272280273.0,17671000.0,31321.0
03_CDA,2003,1295210241.0,17233000.0,31628.0
03_CDA,2004,1335179927.0,19314000.0,31950.0
03_CDA,2005,1377924138.0,18014000.0,32288.0
03_CDA,2006,1414072774.0,20130000.0,32646.0
03_CDA,2007,1443241528.0,18248000.0,33020.0
03_CDA,2008,1457679153.0,16799000.0,33405.0
03_CDA,2009,1414683628.0,10591000.0,33790.0
03_CDA,2010,1458305599.0,15656000.0,34168.0
03_CDA,2011,1504114172.0,15746000.0,34539.0
03_CDA,2012,1530368068.0,17305000.0,34901.0
03_CDA,2013,1568244706.0,16445000.0,35256.0
03_CDA,2014,1613029685.0,17527000.0,35605.0
03_CDA,2015,1629174217.0,14827000.0,35949.0
03_CDA,2016,1652212414.0,16717000.0,36290.0
04_CHL,1980,75244937.0,809000.0,11179.0
04_CHL,1981,78802560.0,724000.0,11348.0
