Economy,Year,GDP,SteelProduction,Population,SteelProductionperCapita,GDPperCapita
01_AUS,1980.0,347420465.0,6271000.0,14710.0,426.3086335825969,23617.978585995923
01_AUS,1981.0,358188872.0,6683000.0,14902.0,448.46329351764865,24036.29526238089
01_AUS,1982.0,368749588.0,5850000.0,15110.0,387.1608206485771,24404.34070152217
01_AUS,1983.0,360991765.0,4811000.0,15333.0,313.7676906019696,23543.45300984804
01_AUS,1984.0,379601300.0,6054000.0,15568.0,388.87461459403903,24383.433967112025
01_AUS,1985.0,399582173.0,5740000.0,15812.0,363.0154313179863,25270.817923096383
01_AUS,1986.0,417731196.0,5925000.0,16066.0,368.79123615087764,26000.94584837545
01_AUS,1987.0,429187886.0,5441000.0,16330.0,333.1904470300061,26282.17305572566
01_AUS,1988.0,453331010.0,6419000.0,16596.0,386.77994697517477,27315.679079296217
01_AUS,1989.0,470383417.0,6831000.0,16854.0,405.3043787824849,27909.30443811558
01_AUS,1990.0,515317626.0,5511000.0,17042.0,323.37753784767045,30238.095646050933
01_AUS,1991.0,513320531.0,5294000.0,17272.0,306.5076424270496,29719.80841824919
01_AUS,1992.0,515592569.0,5120000.0,17486.0,292.8056731099165,29486.021331350796
01_AUS,1993.0,536417759.0,5757000.0,17688.0,325.47489823609226,30326.648518769787
01_AUS,1994.0,557759322.0,6326000.0,17883.0,353.7437790079964,31189.359838953194
01_AUS,1995.0,579117983.0,6256000.0,18077.0,346.07512308458263,32036.177629031365
01_AUS,1996.0,601579834.0,6400000.0,18272.0,350.2626970227671,32923.589864273206
01_AUS,1997.0,625441020.0,6500000.0,18468.0,351.9601472817847,33866.202079272254
01_AUS,1998.0,654065825.0,6600000.0,18665.0,353.60300026788104,35042.36940798286
01_AUS,1999.0,686887267.0,6600000.0,18864.0,349.8727735368957,36412.59897158609
01_AUS,2000.0,713972531.0,6100000.0,19066.0,319.94125668729674,37447.42111612294
01_AUS,2001.0,727774374.0,6000000.0,19269.0,311.3809746224506,37769.18231356064
01_AUS,2002.0,756907345.0,6800000.0,19475.0,349.1655969191271,38865.588960205394
01_AUS,2003.0,779506667.0,7000000.0,19697.0,355.3840686398944,39574.89297862619
01_AUS,2004.0,810695552.0,7500000.0,19949.0,375.9586946714121,40638.40553411198
01_AUS,2005.0,836559304.0,7400000.0,20239.0,365.6307129798903,41334.02361776768
01_AUS,2006.0,860269340.0,7420000.0,20573.0,360.6668935011909,41815.45423613474
01_AUS,2007.0,892764544.0,8126000.0,20947.0,387.93144603045783,42620.162505370696
01_AUS,2008.0,925419788.0,8224000.0,21343.0,385.325399428384,43359.40533195896
01_AUS,2009.0,943213087.0,5916000.0,21739.0,272.13763282579697,43388.062330373985
01_AUS,2010.0,962576705.0,7716000.0,22120.0,348.8245931283906,43516.12590415913
01_AUS,2011.0,986170471.0,6672000.0,22480.0,296.79715302491104,43868.79319395018
01_AUS,2012.0,1024551635.0,7152000.0,22822.0,313.38182455525373,44893.15726053808
01_AUS,2013.0,1051594494.0,6376000.0,23151.0,275.40926957798797,45423.28599196579
01_AUS,2014.0,1078497831.0,7142000.0,23474.0,304.25151231149357,45944.35677771151
01_AUS,2015.0,1103854786.0,6968000.0,23800.0,292.7731092436975,46380.45319327731
01_AUS,2016.0,1135064189.0,6478000.0,24125.0,268.5181347150259,47049.292808290156
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
03_CDA,1980.0,675111424.0,13306000.0,24516.0,542.7475934083864,27537.58459781367
03_CDA,1981.0,697284324.0,14118000.0,24770.0,569.963665724667,28150.35623738393
03_CDA,1982.0,675883914.0,9418000.0,25016.0,376.47905340582025,27018.064998401023
03_CDA,1983.0,694219534.0,10771000.0,25267.0,426.2872521470693,27475.344678830093
03_CDA,1984.0,735383384.0,13089000.0,25539.0,512.5102783977446,28794.525392536903
03_CDA,1985.0,772485749.0,13185000.0,25843.0,510.1961846534845,29891.48895252099
03_CDA,1986.0,793596223.0,12539000.0,26183.0,478.8985219417179,30309.598709086047
03_CDA,1987.0,828151423.0,13395000.0,26555.0,504.42477876106193,31186.27087177556
03_CDA,1988.0,870763088.0,15244000.0,26943.0,565.7870318821215,32318.713135137143
03_CDA,1989.0,890380142.0,13985000.0,27330.0,511.70874496889866,32578.856275155507
03_CDA,1990.0,916554841.0,11222000.0,27692.0,405.24339159323995,33098.18146034956
03_CDA,1991.0,897071706.0,10688000.0,28045.0,381.10180067748263,31986.867748261724
03_CDA,1992.0,904992634.0,11160000.0,28385.0,393.1654042628149,31882.77731196054
03_CDA,1993.0,929022323.0,12714000.0,28711.0,442.82679112535266,32357.713872731707
03_CDA,1994.0,970767705.0,15324000.0,29027.0,527.9222792572433,33443.61129293416
03_CDA,1995.0,996762034.0,15047000.0,29330.0,513.0242072962836,33984.3857483805
03_CDA,1996.0,1012820349.0,15300000.0,29622.0,516.5080008102086,34191.491087705086
03_CDA,1997.0,1056167160.0,17700000.0,29903.0,591.9138547971776,35319.77259806708
03_CDA,1998.0,1097165026.0,18200000.0,30178.0,603.0883425011598,36356.452581350655
03_CDA,1999.0,1153813970.0,18200000.0,30454.0,597.6226439876535,37887.10744073028
03_CDA,2000.0,1213612575.0,19800000.0,30736.0,644.1957313899011,39485.05254424779
03_CDA,2001.0,1235103458.0,16900000.0,31025.0,544.7219983883964,39809.94224012893
03_CDA,2002.0,1272280273.0,17671000.0,31321.0,564.1901599565787,40620.67855432457
03_CDA,2003.0,1295210241.0,17233000.0,31628.0,544.8653092196788,40951.379821676994
03_CDA,2004.0,1335179927.0,19314000.0,31950.0,604.5070422535211,41789.669076682316
03_CDA,2005.0,1377924138.0,18014000.0,32288.0,557.9162537165511,42676.04490832507
03_CDA,2006.0,1414072774.0,20130000.0,32646.0,616.6145929057159,43315.34564724622
03_CDA,2007.0,1443241528.0,18248000.0,33020.0,552.6347668079951,43708.10199878861
03_CDA,2008.0,1457679153.0,16799000.0,33405.0,502.88878910342765,43636.55599461158
03_CDA,2009.0,1414683628.0,10591000.0,33790.0,313.4359277892868,41866.93187333531
03_CDA,2010.0,1458305599.0,15656000.0,34168.0,458.20650901428235,42680.4495141653
03_CDA,2011.0,1504114172.0,15746000.0,34539.0,455.8904426879759,43548.283737224585
03_CDA,2012.0,1530368068.0,17305000.0,34901.0,495.83106501246385,43848.831494799575
03_CDA,2013.0,1568244706.0,16445000.0,35256.0,466.4454277286136,44481.64017472203
