Economy,Year,GDP,ITM,POP
01_AUS,2017,1157283926.0,,24451.0
01_AUS,2018,1201142573.0,,24772.0
01_AUS,2019,1245039044.0,,25089.0
01_AUS,2020,1289224526.0,,25398.0
01_AUS,2021,1333639686.0,,25700.0
01_AUS,2022,1378646228.0,,25996.0
01_AUS,2023,1424442629.0,,26287.0
01_AUS,2024,1471205820.0,,26573.0
01_AUS,2025,1519006309.0,,26857.0
01_AUS,2026,1566859653.0,,27139.0
01_AUS,2027,1615958599.0,,27418.0
01_AUS,2028,1666222278.0,,27693.0
01_AUS,2029,1717419964.0,,27966.0
01_AUS,2030,1769393796.0,,28234.0
01_AUS,2031,1821332122.0,,28500.0
01_AUS,2032,1874054169.0,,28760.0
01_AUS,2033,1927569372.0,,29018.0
01_AUS,2034,1981931991.0,,29273.0
01_AUS,2035,2037127705.0,,29527.0
01_AUS,2036,2091895589.0,,29777.0
01_AUS,2037,2147448007.0,,30026.0
01_AUS,2038,2203751837.0,,30273.0
01_AUS,2039,2260727484.0,,30520.0
01_AUS,2040,2318290528.0,,30764.0
01_AUS,2041,2375138639.0,,31009.0
01_AUS,2042,2432794114.0,,31253.0
01_AUS,2043,2491262884.0,,31496.0
01_AUS,2044,2550592656.0,,31739.0
01_AUS,2045,2610851825.0,,31982.0
01_AUS,2046,2670775153.0,,32225.0
01_AUS,2047,2731887132.0,,32468.0
01_AUS,2048,2794170024.0,,32710.0
01_AUS,2049,2857579294.0,,32950.0
01_AUS,2050,2922072575.0,,33187.0
02_BD,2017,32437366.0,,429.0
02_BD,2018,33069907.0,,434.0
02_BD,2019,33676517.0,,439.0
02_BD,2020,34259481.0,,445.0
02_BD,2021,34761332.0,,450.0
02_BD,2022,35259303.0,,455.0
02_BD,2023,35744984.0,,459.0
02_BD,2024,36216047.0,,464.0
02_BD,2025,36670805.0,,469.0
02_BD,2026,37067939.0,,473.0
02_BD,2027,37462768.0,,478.0
02_BD,2028,37858011.0,,482.0
02_BD,2029,38255907.0,,486.0
02_BD,2030,38654200.0,,490.0
02_BD,2031,38979888.0,,494.0
02_BD,2032,39317569.0,,497.0
02_BD,2033,39663549.0,,500.0
02_BD,2034,40018318.0,,504.0
02_BD,2035,40377630.0,,507.0
02_BD,2036,40672792.0,,509.0
02_BD,2037,40982660.0,,513.0
02_BD,2038,41303882.0,,515.0
02_BD,2039,41631876.0,,518.0
02_BD,2040,41964992.0,,520.0
02_BD,2041,42231768.0,,522.0
02_BD,2042,42511378.0,,524.0
02_BD,2043,42800472.0,,526.0
02_BD,2044,43100190.0,,528.0
02_BD,2045,43407732.0,,530.0
02_BD,2046,43644785.0,,532.0
02_BD,2047,43894956.0,,533.0
02_BD,2048,44156602.0,,535.0
02_BD,2049,44432251.0,,535.0
02_BD,2050,44714493.0,,537.0
03_CDA,2017,1702561120.0,,36624.0
03_CDA,2018,1736225571.0,,36954.0
03_CDA,2019,1771168763.0,,37280.0
03_CDA,2020,1807362860.0,,37604.0
03_CDA,2021,1844712460.0,,37924.0
03_CDA,2022,1883170718.0,,38242.0
03_CDA,2023,1922752078.0,,38556.0
03_CDA,2024,1963133817.0,,38868.0
03_CDA,2025,2004109568.0,,39173.0
03_CDA,2026,2045710589.0,,39473.0
03_CDA,2027,2087986905.0,,39769.0
03_CDA,2028,2130945077.0,,40059.0
03_CDA,2029,2174536544.0,,40342.0
03_CDA,2030,2218710070.0,,40618.0
03_CDA,2031,2263425517.0,,40886.0
03_CDA,2032,2308694906.0,,41147.0
03_CDA,2033,2354538825.0,,41401.0
03_CDA,2034,2400973842.0,,41647.0
03_CDA,2035,2448001199.0,,41888.0
03_CDA,2036,2495626479.0,,42123.0
03_CDA,2037,2543873074.0,,42351.0
03_CDA,2038,2592766017.0,,42574.0
03_CDA,2039,2642312764.0,,42792.0
03_CDA,2040,2692521059.0,,43005.0
03_CDA,2041,2743424646.0,,43213.0
03_CDA,2042,2795096455.0,,43417.0
03_CDA,2043,2847594538.0,,43619.0
03_CDA,2044,2900951807.0,,43816.0
03_CDA,2045,2955183143.0,,44011.0
03_CDA,2046,3010304987.0,,44204.0
03_CDA,2047,3066353016.0,,44395.0
03_CDA,2048,3123340480.0,,44583.0
03_CDA,2049,3181260928.0,,44768.0
03_CDA,2050,3240094122.0,,44949.0
04_CHL,2017,433123907.0,,18055.0
04_CHL,2018,457489275.0,,18197.0
04_CHL,2019,482243933.0,,18336.0
04_CHL,2020,507191164.0,,18472.0
04_CHL,2021,532183278.0,,18605.0
04_CHL,2022,557093007.0,,18734.0
04_CHL,2023,581818869.0,,18859.0
