Economy,Year,GDP,ITM,POP
01_AUS,1980,347420465.0,6271000.0,14710.0
01_AUS,1981,358188872.0,6683000.0,14902.0
01_AUS,1982,368749588.0,5850000.0,15110.0
01_AUS,1983,360991765.0,4811000.0,15333.0
01_AUS,1984,379601300.0,6054000.0,15568.0
01_AUS,1985,399582173.0,5740000.0,15812.0
01_AUS,1986,417731196.0,5925000.0,16066.0
01_AUS,1987,429187886.0,5441000.0,16330.0
01_AUS,1988,453331010.0,6419000.0,16596.0
01_AUS,1989,470383417.0,6831000.0,16854.0
01_AUS,1990,515317626.0,5511000.0,17042.0
01_AUS,1991,513320531.0,5294000.0,17272.0
01_AUS,1992,515592569.0,5120000.0,17486.0
01_AUS,1993,536417759.0,5757000.0,17688.0
01_AUS,1994,557759322.0,6326000.0,17883.0
01_AUS,1995,579117983.0,6256000.0,18077.0
01_AUS,1996,601579834.0,6400000.0,18272.0
01_AUS,1997,625441020.0,6500000.0,18468.0
01_AUS,1998,654065825.0,6600000.0,18665.0
01_AUS,1999,686887267.0,6600000.0,18864.0
01_AUS,2000,713972531.0,6100000.0,19066.0
01_AUS,2001,727774374.0,6000000.0,19269.0
01_AUS,2002,756907345.0,6800000.0,19475.0
01_AUS,2003,779506667.0,7000000.0,19697.0
01_AUS,2004,810695552.0,7500000.0,19949.0
01_AUS,2005,836559304.0,7400000.0,20239.0
01_AUS,2006,860269340.0,7420000.0,20573.0
01_AUS,2007,892764544.0,8126000.0,20947.0
01_AUS,2008,925419788.0,8224000.0,21343.0
01_AUS,2009,943213087.0,5916000.0,21739.0
01_AUS,2010,962576705.0,7716000.0,22120.0
01_AUS,2011,986170471.0,6672000.0,22480.0
01_AUS,2012,1024551635.0,7152000.0,22822.0
01_AUS,2013,1051594494.0,6376000.0,23151.0
01_AUS,2014,1078497831.0,7142000.0,23474.0
01_AUS,2015,1103854786.0,6968000.0,23800.0
01_AUS,2016,1135064189.0,6478000.0,24125.0
01_AUS,2017,1157283926.0,,24451.0
01_AUS,2018,1201142573.0,,24772.0
01_AUS,2019,1245039044.0,,25089.0
01_AUS,2020,1289224526.0,,25398.0
01_AUS,2021,1333639686.0,,25700.0
01_AUS,2022,1378646228.0,,25996.0
01_AUS,2023,1424442629.0,,26287.0
01_AUS,2024,1471205820.0,,26573.0
01_AUS,2025,1519006309.0,,26857.0
01_AUS,2026,1566859653.0,,27139.0
01_AUS,2027,1615958599.0,,27418.0
01_AUS,2028,1666222278.0,,27693.0
01_AUS,2029,1717419964.0,,27966.0
01_AUS,2030,1769393796.0,,28234.0
01_AUS,2031,1821332122.0,,28500.0
01_AUS,2032,1874054169.0,,28760.0
01_AUS,2033,1927569372.0,,29018.0
01_AUS,2034,1981931991.0,,29273.0
01_AUS,2035,2037127705.0,,29527.0
01_AUS,2036,2091895589.0,,29777.0
01_AUS,2037,2147448007.0,,30026.0
01_AUS,2038,2203751837.0,,30273.0
01_AUS,2039,2260727484.0,,30520.0
01_AUS,2040,2318290528.0,,30764.0
01_AUS,2041,2375138639.0,,31009.0
01_AUS,2042,2432794114.0,,31253.0
01_AUS,2043,2491262884.0,,31496.0
01_AUS,2044,2550592656.0,,31739.0
01_AUS,2045,2610851825.0,,31982.0
01_AUS,2046,2670775153.0,,32225.0
01_AUS,2047,2731887132.0,,32468.0
01_AUS,2048,2794170024.0,,32710.0
01_AUS,2049,2857579294.0,,32950.0
01_AUS,2050,2922072575.0,,33187.0
02_BD,1980,17855416.0,-1.0,189.0
02_BD,1981,14325028.0,-1.0,195.0
02_BD,1982,14898711.0,-1.0,201.0
02_BD,1983,14977505.0,-1.0,207.0
02_BD,1984,15069294.0,-1.0,213.0
02_BD,1985,14844799.0,-1.0,219.0
02_BD,1986,14440412.0,-1.0,225.0
02_BD,1987,14728067.0,-1.0,232.0
02_BD,1988,14886686.0,-1.0,238.0
02_BD,1989,14723781.0,-1.0,245.0
02_BD,1990,23088497.0,-1.0,258.0
02_BD,1991,23814848.0,-1.0,266.0
02_BD,1992,24948096.0,-1.0,274.0
02_BD,1993,25024081.0,-1.0,281.0
02_BD,1994,25811188.0,-1.0,290.0
02_BD,1995,26967196.0,-1.0,297.0
02_BD,1996,27743397.0,-1.0,304.0
02_BD,1997,27335244.0,-1.0,312.0
02_BD,1998,27182575.0,-1.0,319.0
02_BD,1999,28012230.0,-1.0,326.0
02_BD,2000,28810416.0,-1.0,333.0
02_BD,2001,29600986.0,-1.0,340.0
02_BD,2002,30747165.0,-1.0,347.0
02_BD,2003,31640049.0,-1.0,353.0
02_BD,2004,31799615.0,-1.0,360.0
02_BD,2005,31922841.0,-1.0,365.0
02_BD,2006,33326718.0,-1.0,371.0
02_BD,2007,33378235.0,-1.0,374.0
02_BD,2008,32730792.0,-1.0,379.0
02_BD,2009,32153246.0,-1.0,384.0
02_BD,2010,32988898.0,-1.0,389.0
02_BD,2011,34224437.0,-1.0,394.0
02_BD,2012,34536852.0,-1.0,399.0
02_BD,2013,33802589.0,-1.0,405.0
02_BD,2014,33008313.0,-1.0,411.0
02_BD,2015,32821218.0,-1.0,417.0
02_BD,2016,32012006.0,-1.0,423.0
02_BD,2017,32437366.0,,429.0
02_BD,2018,33069907.0,,434.0
02_BD,2019,33676517.0,,439.0
02_BD,2020,34259481.0,,445.0
02_BD,2021,34761332.0,,450.0
02_BD,2022,35259303.0,,455.0
02_BD,2023,35744984.0,,459.0
02_BD,2024,36216047.0,,464.0
02_BD,2025,36670805.0,,469.0
02_BD,2026,37067939.0,,473.0
02_BD,2027,37462768.0,,478.0
02_BD,2028,37858011.0,,482.0
02_BD,2029,38255907.0,,486.0
02_BD,2030,38654200.0,,490.0
02_BD,2031,38979888.0,,494.0
